relays_published,a9.wtf,ahadizapto.tk,applied-privacy.net,artikel10.org,betechcompany.com,Binaryevolved.com,brasshorncommunications.uk,bungeetaco.com,captainsonic.com,demsh.org,dfri.se,digitalcourage.social,dotsrc.org,emeraldonion.org,florentius.net,for-privacy.net,frichetten.com,hviv.nl,hydra-family.github.io,katawaredoki.one,kerneloops.de,kubieziel.de,linkspartei.org,lokodlare.com,marx.wtf,medvideos-tor.org,nicdex.com,nos-oignons.net,ns4.jth.net,privacy.gd,privacysvcs.net,qimam.com,quetzalcoatl-relays.org,recipe-acl.github.io,relayon.org,stormycloud.org,tor-nodes.padhi.me,tor2.xn--sb-lka.org,torservers.net,unredacted.org,uwu.lgbt,worldofmatthew.com,www.cccs.de,www.digitale-gesellschaft.ch,www.f3netze.de,www.privex.io,www.quintex.com
2021-01-01,0.07,0,2.82,0.11,0,0,0,0.04,0,0.01,0.41,4.76,0,0.62,0,0.44,0.07,0.17,1.27,0.05,0,0,0,0,0.02,0,0.18,0.61,0.00,0,0.01,0,0.65,0.35,11.94,0,0,0,1.22,0,0.01,0.04,0,1.33,7.58,0.05,1.92
2021-01-02,0.06,0,2.96,0.11,0,0,0,0.04,0,0.01,0.40,4.74,0,0.61,0,0.44,0.07,0.19,1.30,0.05,0,0,0,0,0.03,0,0.17,0.62,0.00,0,0.01,0,0.76,0.34,11.93,0,0,0,1.18,0,0.01,0.04,0,1.33,7.20,0.05,1.89
2021-01-03,0.06,0,3.05,0.09,0,0,0,0.03,0,0.01,0.39,4.74,0,0.61,0,0.45,0.05,0.18,1.30,0.05,0,0,0,0,0.02,0,0.18,0.64,0.00,0,0.01,0,0.89,0.31,11.82,0,0,0,1.24,0,0.01,0.04,0,1.32,7.16,0.06,1.87
2021-01-04,0.06,0,3.02,0.10,0,0,0,0.04,0,0.01,0.39,4.66,0,0.61,0,0.47,0.07,0.17,1.26,0.05,0,0,0,0,0.02,0,0.20,0.64,0.00,0,0.01,0,0.84,0.25,11.85,0,0,0,1.29,0,0.01,0.03,0,1.38,6.96,0.06,2.05
2021-01-05,0.06,0,2.99,0.11,0,0,0,0.04,0,0.02,0.39,4.40,0,0.60,0,0.46,0.07,0.17,1.28,0.04,0,0,0,0,0.02,0,0.20,0.65,0.00,0,0.01,0,0.89,0.31,12.08,0,0,0,1.26,0,0.01,0.04,0,1.36,6.89,0.06,2.14
2021-01-07,0.06,0,3.20,0.11,0,0,0,0.03,0,0.02,0.41,4.51,0,0.58,0,0.46,0.08,0.18,1.43,0.04,0,0,0,0,0.02,0,0.18,0.69,0.00,0,0.01,0,0.91,0.35,11.89,0,0,0,1.26,0,0.01,0.04,0,1.45,7.03,0.05,2.18
2021-01-08,0.06,0,3.30,0.11,0,0,0,0.03,0,0.01,0.43,4.66,0,0.60,0,0.46,0.07,0.40,1.50,0.05,0,0,0,0,0.03,0,0.20,0.62,0.00,0,0.01,0,0.95,0.35,11.63,0,0,0,1.27,0,0.01,0.05,0,1.47,7.21,0.05,2.13
2021-01-09,0.07,0,3.26,0.12,0,0,0,0.03,0,0.01,0.41,4.58,0,0.60,0,0.45,0.07,0.41,1.51,0.05,0,0,0,0,0.03,0,0.20,0.62,0.00,0,0.01,0,0.92,0.35,11.95,0,0,0,1.28,0,0.01,0.04,0,1.56,6.97,0.05,2.20
2021-01-10,0.07,0,3.21,0.10,0,0,0,0.03,0,0.01,0.39,4.50,0,0.56,0,0.41,0.08,0.53,1.54,0.05,0,0,0,0,0.02,0,0.19,0.59,0.00,0,0.01,0,0.92,0.34,11.69,0,0,0,1.27,0,0.01,0.04,0,1.46,6.97,0.05,2.18
2021-01-11,0.07,0,3.18,0.09,0,0,0.00,0.02,0,0.01,0.40,4.46,0,0.65,0,0.43,0.06,0.68,1.51,0.04,0,0,0,0,0.03,0,0.18,0.61,0.00,0,0.01,0,0.95,0.26,11.38,0,0,0,1.27,0,0.01,0.03,0,1.52,6.38,0.06,2.07
2021-01-12,0.07,0,3.37,0.09,0,0,0.00,0.03,0,0.01,0.40,4.37,0,0.63,0,0.43,0.07,0.87,1.66,0.04,0,0,0,0,0.03,0,0.18,0.51,0.00,0,0.01,0,0.83,0.26,12.27,0,0,0,0.85,0,0.01,0.04,0,1.38,6.74,0.06,2.10
2021-01-13,0.06,0,3.51,0.09,0,0,0.00,0.04,0,0.01,0.38,4.60,0,0.61,0,0.44,0.08,1.07,1.74,0.06,0,0,0,0,0.03,0,0.18,0.66,0.00,0,0.01,0,0.76,0.27,12.16,0,0,0,1.38,0,0.01,0.03,0,1.45,6.74,0.07,2.22
2021-01-14,0.07,0,3.59,0.10,0,0,0.00,0.03,0,0.01,0.42,4.70,0,0.65,0,0.44,0.07,1.11,1.66,0.06,0,0,0,0,0.03,0,0.20,0.67,0.00,0,0.00,0,0.79,0,12.29,0,0,0,1.31,0,0.01,0.03,0,1.49,6.86,0.06,2.20
2021-01-15,0.06,0,3.49,0.10,0,0,0.00,0.03,0,0.01,0.43,4.57,0,0.66,0,0.37,0.07,1.12,1.76,0.05,0,0,0,0,0.03,0,0.19,0.70,0.00,0,0.00,0,0.83,0,12.47,0,0,0,1.31,0,0.01,0.04,0,1.46,7.25,0.06,2.17
2021-01-16,0.06,0,3.44,0.10,0,0,0.00,0.03,0,0.01,0.39,4.37,0,0.76,0,0.43,0.07,1.25,1.83,0.04,0,0,0,0,0.03,0,0.18,0.65,0.00,0,0.01,0,0.78,0,12.20,0,0,0,1.31,0,0.01,0.04,0,1.39,6.76,0.07,2.18
2021-01-17,0.06,0,3.44,0.10,0,0,0.00,0.03,0,0.01,0.38,4.35,0,0.65,0,0.43,0.07,1.20,1.85,0.04,0,0,0,0,0,0,0.17,0.64,0.00,0,0.01,0,0.79,0,11.51,0,0,0,1.29,0,0.01,0.04,0,1.42,6.84,0.06,2.25
2021-01-18,0.06,0,3.43,0.11,0,0,0.00,0.03,0,0.01,0.41,4.41,0,0.72,0,0.42,0.08,1.15,1.92,0.04,0,0,0,0,0,0,0.18,0.67,0.00,0,0.01,0,0.80,0.14,12.56,0,0,0,1.19,0,0.01,0.04,0,1.42,7.31,0.06,2.18
2021-01-19,0.06,0,3.47,0.11,0,0,0.00,0.03,0,0.01,0.37,4.36,0,0.70,0,0.38,0.07,1.18,1.90,0.04,0,0,0,0,0,0,0.17,0.72,0.00,0,0.01,0,0.92,0.39,12.62,0,0,0,1.22,0,0.01,0.04,0,1.49,6.69,0.07,2.11
2021-01-20,0.06,0,3.41,0.09,0,0,0,0.03,0,0.01,0.39,4.37,0,0.76,0,0.40,0.07,1.18,1.92,0.04,0,0,0,0,0,0,0.16,0.69,0.00,0,0.01,0,0.79,0.23,12.97,0,0,0,1.27,0,0.00,0.07,0,1.48,6.54,0.05,2.16
2021-01-21,0.07,0,3.46,0.10,0,0,0.00,0.03,0,0.01,0.42,4.30,0,0.85,0,0.37,0.08,1.07,1.98,0.04,0,0,0,0,0,0,0.14,0.72,0.00,0,0.01,0,0.83,0.27,12.92,0,0,0,1.30,0,0.00,0.05,0,1.48,7.23,0.06,2.08
2021-01-22,0.06,0,3.49,0.10,0,0,0.00,0.03,0,0.01,0.39,4.23,0,0.91,0,0.38,0.09,1.09,2.00,0.05,0,0,0,0,0,0,0.15,0.70,0.00,0,0.01,0,0.86,0,12.78,0,0,0,1.26,0,0.00,0.05,0,1.46,7.08,0.06,2.03
